Patch,Name,Class,Role,Tier,Score,Trend,KDA,Type,Rate
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Win %,49.97%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Role %,94.62%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Pick %,4.43%
12-1,Aatrox,Fighter,TOP,A,58.25,6.52,1.97,Ban %,2.03%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Win %,49.93%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Role %,93.47%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Pick %,4.62%
12-1,Ahri,Mage,MID,A,53.21,-0.24,2.56,Ban %,1.04%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Win %,48.59%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Role %,65.65%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Pick %,8.16%
12-1,Akali,Assassin,MID,S,65.3,6.51,2.34,Ban %,12.88%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Win %,48.57%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Role %,34.06%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Pick %,4.24%
12-1,Akali,Assassin,TOP,A,57.87,3.34,2.04,Ban %,12.88%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Win %,51.46%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Role %,58.01%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Pick %,4.83%
12-1,Akshan,Marksman,MID,S,59.85,0.65,2.23,Ban %,21.91%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Win %,51.58%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Role %,33.45%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Pick %,2.71%
12-1,Akshan,Marksman,TOP,A,55.89,-0.46,1.97,Ban %,21.91%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Win %,49.92%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Role %,98.55%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Pick %,3.65%
12-1,Alistar,Tank,SUPPORT,B,46.08,-2.74,2.51,Ban %,0.84%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Win %,50.27%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Role %,83.11%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Pick %,3.13%
12-1,Amumu,Tank,JUNGLE,B,45.69,1.72,2.62,Ban %,1.51%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Win %,50.09%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Role %,14.95%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Pick %,0.44%
12-1,Amumu,Tank,SUPPORT,C,35.88,2.55,2.05,Ban %,1.64%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Win %,51.97%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Role %,82.16%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Pick %,3.32%
12-1,Anivia,Mage,MID,A,53.38,-1.26,2.66,Ban %,3.03%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Win %,47.66%
12-1,Anivia,Mage,SUPPORT,D,31.74,-1.46,2.18,Role %,12.51%
